Keywords,Abstract,DOI,Link,Year,Title,Authors,Read,Type,Publication Title,Citation Count,Repeated,SCOPUS,IEEE,SPRINGER,WOS,,
"Ensemble learning, Meta-learning, Internal validation, External validation, In-distribution shift out-of-distribution data","Advancement of deep learning algorithms and their application in medical imaging has demonstrated expert-level performance in recent times in connection with diagnosis of different illness of patients. However, their accuracy may drop in the real world as training dataset cannot cover all aspects of distribution. This problem is often encountered when deep neural networks are exposed to out-of-distribution (OOD) instances. This demands the need for employing appropriate technique to handle OOD instances as it is not practically feasible to retrain the models over and over again every time changes occur in distribution of data. In this study, a stack generalization deep ensemble learning approach is proposed for the classification of lung diseases in chest X-ray images. Specifically, this approach includes training a series of Mn models on independent Din internal datasets, and then training an advanced meta-model Mmlp with the benefits of combined generalization with maximum confidence. Finally, the method has been evaluated with subsets of in-distribution Din,ext datasets as well as entirely new OOD dataset Dout. The proposed method yields AUC of 0.86, 1.00, and 0.99 for Din,test test sets. For three entirely new target domain datasets, AUC for Din,ext is 0.89, while AUC for Dout are found to be 0.86, 0.81, 0.80, and 0.55. This paper highlights the effectiveness of the proposed method in generalization to data distribution shifts in 2D chest X-ray medical imaging data.",10.1007/s42979-024-03164-x,https://doi.org/10.1007/s42979-024-03164-x,2024,A Deep Ensemble Approach for Lung Disease Classification in Chest X-Ray Across Data Distribution Shifts and Unseen Data Generalization,"Borah, Jutika and Singh, Hidam Kumarjit and Sarmah, Kumaresh",yes,article,SN Comput. Sci.,,yes,no,no,yes,no,424,
"Deep neural networks, generalization, out-of-distribution detection, outlier exposure, texture and shape bias","Current supervised deep learning models are shown to achieve exceptional performance when data samples used in evaluation come from a known source, but are susceptible to performance degradations when the data distribution is even slightly shifted. In this work, we study the interaction of two related aspects in this context: (1) out-of-distribution (OOD) generalization ability of DNNs to successfully classify samples from unobserved data distributions, and (2) being able to detect strictly OOD samples when observed at test-time, finding that acquisition of these two capabilities can be at odds. We experimentally analyze the impact of various training data related texture and shape biases on both abilities. Importantly, we reveal that naive outlier exposure mechanisms can help to improve OOD detection performance while introducing strong texture biases that conflict with the generalization abilities of the networks. We further explore the influence of such conflicting texture bias backdoors, which lead to unreliable OOD detection performance on spurious OOD samples observed at test-time.",10.1007/978-3-031-44204-9_21,https://doi.org/10.1007/978-3-031-44204-9_21,2023,Interaction of&nbsp;Generalization and&nbsp;Out-of-Distribution Detection Capabilities in&nbsp;Deep Neural Networks,"Klaiber Aboitiz, Francisco Javier and Legenstein, Robert and \""{O}zdenizci, Ozan",yes,inproceedings,,,Yes,yes,no,yes,yes,,
"domain knowledge, semantic feature, distant supervision, polarity shift, sentiment analysis","One of the main challenges in sentiment analysis is the polarity shift. Studies have shown that the detection of polarity shifts is very effective to improve the accuracy of sentiment analysis. However, the problem of polarity shift detection has not been well studied, and most studies have only focused on detecting negations, one kind of polarity shifts. This paper aims to provide a semantic method based on domain knowledge for the detection of polarity shifts. In the proposed method, a polarity shift-tagged corpus is created using the idea of distant supervision. Thereafter, the polarity shifts are detected by training the machine learning classifiers on the resulting corpus, based on the semantic features extracted from the domain knowledge. The experimental results reveal that the SVM classifier with training on the constructed corpus is capable of detecting the polarity shifts with 79.33% accuracy and 81.21% F-measure, which are 24.6% and 17.5% more accurate than the best-performing existing method, respectively. Also, the results show that with the use of the polarity shift tag as a feature, SVM classifier F-measure for sentiment analysis has been improved up to 1.2%.",10.1007/s13748-021-00267-x,https://doi.org/10.1007/s13748-021-00267-x,2022,A semantic approach based on domain knowledge for polarity shift detection using distant supervision,"Ayeste, Zahra and Noferesti, Samira",,article,Prog. in Artif. Intell.,,removed,no,no,no,no,,
"Online inference, Confidence estimation, Data Distribution shift, Cloud-edge collaborative","Cloud-edge collaborative inference is an effective solution for real-time Internet intelligence applications, with lightweight edge models handling simple samples and offloading difficult ones to the cloud for processing. However, existing methods rely on fixed confidence thresholds or pre-trained routers to distinguish easy and hard samples, but they cannot adapt to data distribution changes from environmental shifts, noise, or new categories. To address these challenges, we propose the Adaptive Confidence Estimation (ACE) algorithm, a novel approach that dynamically adjusts confidence thresholds in real-time to adapt to shifting data distributions. Specifically, ACE improves system robustness by mitigating the impact of distribution shifts, reduces unnecessary offloading to the cloud, and ensures reliable separation of easy and hard inferenced samples. We validate ACE through extensive experiments and show that ACE significantly improves accuracy, reduces latency, and enhances resource utilization compared to existing approaches, providing a scalable and adaptive framework for robust cloud edge collaboration.",10.1007/978-981-95-3456-2_7,https://doi.org/10.1007/978-981-95-3456-2_7,2025,Adaptive Confidence Estimation for&nbsp;Data Distribution Shift Robustness in&nbsp;Cloud-Edge Collaborative Inference,"Song, Shinan and Liu, Guangyi and Ma, Wenjun and Fan, Xiaomao and Cao, Jinzhou and Jiang, Jingyan",,inproceedings,,,removed,no,no,no,no,417,
"Distributed systems, Generalized deadlock, Deadlock detection, Deadlock resolution, Local wait-for graph, 68Q85","A new algorithm has been presented to detect and resolve generalized deadlock in distributed systems. In this algorithm, the initiator incrementally constructs the Local Wait-For Graph (LWFG) by propagating the probes along the edges of the Wait-For Graph and collects the replies that carry the wait-for relation between the processes directly. It updates the LWFG based on the information possessed to determine a deadlock. Proofs have been presented to authenticate its correctness. The proposed algorithm has the worst case time complexity of d + 2 time units and the message complexity of less than 2e messages, where d is the diameter and e is number of edges in the WFG. This centralized algorithm uses messages of fixed size as compared to the existing centralized algorithms. Simulation results reveal that the performance of the proposed algorithm is better or equal to the earlier generalized deadlock detection algorithms in terms of deadlock duration, message traffic and message length. Furthermore, it resolves deadlock without using additional round of messages and handles simultaneous execution of the algorithm effectively.",10.1007/s00607-021-00904-2,https://doi.org/10.1007/s00607-021-00904-2,2022,An incremental approach for detecting distributed deadlocks in the generalized model,"Selvaraj, Srinivasan",,article,Computing,,removed,NO,NO,no,NO,1028,???
"Multiple class novelty detection, Dataset distribution shift","The novelty detection models learn a decision boundary around multiple categories of a given dataset. This helps such models in detecting any novel classes encountered during testing. However, in many cases, the test data distribution can be different from that of the training data. For such cases, the novelty detection models risk detecting a known class as novel due to the dataset distribution shift. This scenario is often ignored while working with novelty detection. To this end, we consider the problem of multiple class novelty detection under dataset distribution shift to improve the novelty detection performance. Firstly, we discuss the problem setting in detail and show how it affects the performance of current novelty detection methods. Secondly, we show that one could improve those novelty detection methods with a simple integration of domain adversarial loss. Finally, we propose a method which brings together the techniques from novelty detection and domain adaptation to improve generalization of multiple class novelty detection on different domains. We evaluate the proposed method on digits and object recognition datasets and show that it provides improvements over the baseline methods.",10.1007/978-3-030-58571-6_26,https://doi.org/10.1007/978-3-030-58571-6_26,2020,Multiple Class Novelty Detection Under Data Distribution Shift,"Oza, Poojan and Nguyen, Hien V. and Patel, Vishal M.",yes,inproceedings,,,yes,no,no,yes,no,,
"Biquality learning, Distribution shift, Weakly supervised learning, Dataset shift, Machine learning","Training machine learning models from data with weak supervision and dataset shifts is still challenging. Designing algorithms when these two situations arise has not been explored much, and existing algorithms cannot always handle the most complex distributional shifts. We think the biquality data setup is a suitable framework for designing such algorithms. Biquality Learning assumes that two datasets are available at training time: a trusted dataset sampled from the distribution of interest and the untrusted dataset with dataset shifts and weaknesses of supervision (aka distribution shifts). The trusted and untrusted datasets available at training time make designing algorithms dealing with any distribution shifts possible. We propose two methods, one inspired by the label noise literature and another by the covariate shift literature for biquality learning. We experiment with two novel methods to synthetically introduce concept drift and class-conditional shifts in real-world datasets across many of them. We opened some discussions and assessed that developing biquality learning algorithms robust to distributional changes remains an interesting problem for future research.",10.1007/s10994-023-06372-3,https://doi.org/10.1007/s10994-023-06372-3,2023,Biquality learning: a framework to design algorithms dealing with closed-set distribution shifts,"Nodet, Pierre and Lemaire, Vincent and Bondu, Alexis and Cornu\'{e}jols, Antoine",,article,Mach. Learn.,,removed,no,no,yes,no,,
"context-driven distribution shift, distribution shift, time series forecasting","Recent years have witnessed the success of introducing deep learning models to time series forecasting. From a data generation perspective, we illustrate that existing models are susceptible to distribution shifts driven by temporal contexts, whether observed or unobserved. Such context-driven distribution shift (CDS) introduces biases in predictions within specific contexts and poses challenges for conventional training paradigms. In this paper, we introduce a universal calibration methodology for the detection and adaptation of CDS with a trained model. To this end, we propose a novel CDS detector, termed the ""residual-based CDS detector"" or ""Reconditionor"", which quantifies the model's vulnerability to CDS by evaluating the mutual information between prediction residuals and their corresponding contexts. A high Reconditionor score indicates a severe susceptibility, thereby necessitating model adaptation. In this circumstance, we put forth a straightforward yet potent adapter framework for model calibration, termed the ""sample-level contextualized adapter"" or ""SOLID"". This framework involves the curation of a contextually similar dataset to the provided test sample and the subsequent fine-tuning of the model's prediction layer with a limited number of steps. Our theoretical analysis demonstrates that this adaptation strategy can achieve an optimal bias-variance trade-off. Notably, our proposed Reconditionor and SOLID are model-agnostic and readily adaptable to a wide range of models. Extensive experiments show that SOLID consistently enhances the performance of current forecasting models on real-world datasets, especially on cases with substantial CDS detected by the proposed Reconditionor, thus validating the effectiveness of the calibration approach.",10.1145/3637528.3671926,https://doi.org/10.1145/3637528.3671926,2024,Calibration of Time-Series Forecasting: Detecting and Adapting Context-Driven Distribution Shift,"Chen, Mouxiang and Shen, Lefei and Fu, Han and Li, Zhuo and Sun, Jianling and Liu, Chenghao",,inproceedings,,,removed,no,no,no,no,,
"Covariate Shift, Out-of-Distribution Detection, Normalizing Flows, Sensory Anomalies, Generative Modelling","Detecting Out-of-Distribution&nbsp;(OOD) sensory data and covariate distribution shift aims to identify new test examples with different high-level image statistics to the captured, normal and In-Distribution&nbsp;(ID) set. Existing OOD detection literature largely focuses on semantic shift with little-to-no consensus over covariate shift. Generative models capture the ID data in an unsupervised manner, enabling them to effectively identify samples that deviate significantly from this learned distribution, irrespective of the downstream task. In this work, we elucidate the ability of generative models to detect and quantify domain-specific covariate shift through extensive analyses that involves a variety of models. To this end, we conjecture that it is sufficient to detect most occurring sensory faults (anomalies and deviations in global signals statistics) by solely modeling high-frequency signal-dependent and independent details. We propose a novel method, CovariateFlow, for OOD detection, specifically tailored to covariate heteroscedastic high-frequency image-components using conditional Normalizing Flows&nbsp;(cNFs). Our results on CIFAR10 vs. CIFAR10-C and ImageNet200 vs. ImageNet200-C demonstrate the effectiveness of the method by accurately detecting OOD covariate shift. This work contributes to enhancing the fidelity of imaging systems and aiding machine learning models in OOD detection in the presence of covariate shift. The code for CovariateFlow is available at .",10.1007/978-3-031-91585-7_12,https://doi.org/10.1007/978-3-031-91585-7_12,2025,Can Your Generative Model Detect Out-of-Distribution Covariate Shift?,"Viviers, Christiaan and Valiuddin, Amaan and Caetano, Francisco and Abdi, Lemar and Filatova, Lena and de With, Peter and van der Sommen, Fons",yes,inproceedings,,,moved,yes,no,yes,yes,1021,???
"distribution shift, source code learning","Distribution shift has been a longstanding challenge for the reliable deployment of deep learning (DL) models due to unexpected accuracy degradation. Although DL has been becoming a driving force for large-scale source code analysis in the big code era, limited progress has been made on distribution shift analysis and benchmarking for source code tasks. To fill this gap, this paper initiates to propose CodeS, a distribution shift benchmark dataset, for source code learning. Specifically, CodeS supports two programming languages (Java and Python) and five shift types (task, programmer, time-stamp, token, and concrete syntax tree). Extensive experiments based on CodeS reveal that 1) out-of-distribution detectors from other domains (e.g., computer vision) do not generalize to source code, 2) all code classification models suffer from distribution shifts, 3) representation-based shifts have a higher impact on the model than others, and 4) pre-trained bimodal models are relatively more resistant to distribution shifts.",10.1109/ICSE-NIER58687.2023.00007,https://doi.org/10.1109/ICSE-NIER58687.2023.00007,2023,CodeS: Towards Code Model Generalization Under Distribution Shift,"Hu, Qiang and Guo, Yuejun and Xie, Xiaofei and Cordy, Maxime and Papadakis, Mike and Ma, Lei and Traon, Yves Le",,inproceedings,,,removed,no,yes,no,yes,1481,???
