Title,Authors,Publication Title,Year,Abstract,DOI,Link,Keywords,Citation Count,read,repeated,ACM,SCOPUS,SPRINGER,WOS
A Benchmark and Evaluation for Real-World Out-of-Distribution Detection Using Vision-Language Models,S. Noda; A. Miyai; Q. Yu; G. Irie; K. Aizawa,2025 IEEE International Conference on Image Processing (ICIP),2025,"Out-of-distribution (OOD) detection is a task that detects OOD samples during inference to ensure the safety of deployed models. However, conventional benchmarks have reached performance saturation, making it difficult to compare recent OOD detection methods. To address this challenge, we introduce three novel OOD detection benchmarks that enable a deeper understanding of method characteristics and reflect real-world conditions. First, we present ImageNet-X, designed to evaluate performance under challenging semantic shifts. Second, we propose ImageNet-FS-X for full-spectrum OOD detection, assessing robustness to covariate shifts (feature distribution shifts). Finally, we propose Wilds-FS-X, which extends these evaluations to real-world datasets, offering a more comprehensive testbed. Our experiments reveal that recent CLIP-based OOD detection methods struggle to varying degrees across the three proposed benchmarks, and none of them consistently outperforms the others. We hope the community goes beyond specific benchmarks and includes more challenging conditions reflecting real-world scenarios. The code is https://github.com/hoshi23/OOD-X-Benchmarks.",10.1109/ICIP55913.2025.11084642,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11084642,Out-of-distribution Detection;Vision Language Model;Benchmark,1.0,,removed,no,no,no,no
A Causality-Aligned Structure Rationalization Scheme Against Adversarial Biased Perturbations for Graph Neural Networks,J. Jia; S. Ma; Y. Liu; L. Wang; R. H. Deng,IEEE Transactions on Information Forensics and Security,2024,"The graph neural networks (GNNs) are susceptible to adversarial perturbations and distribution biases, which pose potential security concerns for real-world applications. Current endeavors mainly focus on graph matching, while the subtle relationships between the nodes and structures of graph-structured data remain under-explored. Accordingly, two fundamental challenges arise as follows: 1) the intricate connections among nodes may induce the distribution shift of graph samples even under the same scenario, and 2) the perturbations of inherent graph-structured representations can introduce spurious shortcuts, which lead to GNN models relying on biased data to make unstable predictions. To address these problems, we propose a novel causality-aligned structure rationalization (CASR) scheme to construct invariant rationales by probing the coherent and causal patterns, which facilitates GNN models to make stable and reliable predictions in case of adversarial biased perturbations. Specifically, the initial graph samples across domains are leveraged to boost the diversity of datasets and perceive the interaction between shortcuts. Subsequently, the causal invariant rationales can be obtained during the interventions. This allows the GNN model to extrapolate risk variations from a single observed environment to multiple unknown environments. Moreover, the query feedback mechanism can progressively promote the consistency-driven optimal rationalization by reinforcing real essences and eliminating spurious shortcuts. Extensive experiments demonstrate the effectiveness of our scheme against adversarial biased perturbations from data manipulation attacks and out-of-distribution (OOD) shifts on various graph-structured datasets. Notably, we reveal that the capture of distinctive rationales can greatly reduce the dependence on shortcut cues and improve the robustness of OOD generalization.",10.1109/TIFS.2023.3318936,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10262126,Adversarial biased perturbations;spurious correlations;invariant causal rationales;OOD generalization;graph neural networks,3.0,,removed,no,no,no,yes
A Closer Look At Scoring Functions And Generalization Prediction,P. Trivedi; D. Koutra; J. J. Thiagarajan,"ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2023,"Generalization error predictors (GEPs) aim to predict model performance on unseen distributions by deriving dataset-level error estimates from sample-level scores. However, GEPs often utilize disparate mechanisms (e.g., regressors, thresholding functions, calibration datasets, etc), to derive such error estimates, which can obfuscate the benefits of a particular scoring function. Therefore, in this work, we rigorously study the effectiveness of popular scoring functions (confidence, local manifold smoothness, model agreement), independent of mechanism choice. We find, absent complex mechanisms, that state-of-the-art confidence- and smoothness- based scores fail to outperform simple model-agreement scores when estimating error under distribution shifts and corruptions. Furthermore, on realistic settings where the training data has been compromised (e.g., label noise, measurement noise, under-sampling), we find that model-agreement scores continue to perform well and that ensemble diversity is important for improving its performance. Finally, to better understand the limitations of scoring functions, we demonstrate that simplicity bias, or the propensity of deep neural networks to rely upon simple but brittle features, can adversely affect GEP performance. Overall, our work carefully studies the effectiveness of popular scoring functions in realistic settings and helps to better understand their limitations.",10.1109/ICASSP49357.2023.10095957,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10095957,Generalization;Data Augmentation;Out-of-Distribution,1.0,yes,moved,no,no,no,no
A Distributed Robust Out-of-Distribution Consumer Recommendation System Using Diffusion Model,J. Bao; H. Shi; Z. Zhou; S. Wang; R. Ma; Y. Yue; Z. Song; H. Guan; Y. Liu,IEEE Transactions on Consumer Electronics,2025,"With the continuous development and widespread application of consumer electronic products, intelligent generation in the field of consumer electronics is capable of generating content based on user preferences and behaviors, providing a more thoughtful and boundary-pushing user experience. Diffusion models, owing to their powerful data distribution modeling capabilities and high-quality project generation abilities, have emerged as a potential study avenue in the domain of recommendation systems. Currently, graph-based recommendation methods using distributionally robust optimization (DRO) assign greater weight to the noise distribution during training, which leads to model parameter learning being dominated by noise. When the model overemphasizes fitting noisy samples in the training data, it may learn irrelevant or meaningless features that do not generalize to out-of-distribution (OOD) data. We propose a diffusion-based distributed robust graph model (DiffDRG) to tackle this issue for ood recommendations. Our solution initially employs a straightforward and efficient diffusion paradigm to alleviate noise effects in the latent space. Additionally, we introduce an entropy regularization term in the DRO objective function to avoid the appearance of extreme sample weights in the worst-case distribution. To assess the efficacy of our system, we perform comprehensive experiments on three datasets across two common distribution shift scenarios.",10.1109/TCE.2025.3624922,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11215749,Diffusion models;consumer electronics;distributionally robust optimization;out-of-distribution,,,removed,no,no,no,no
A Domain Generalization Approach for Out-Of-Distribution 12-lead ECG Classification with Convolutional Neural Networks,A. Ballas; C. Diou,2022 IEEE Eighth International Conference on Big Data Computing Service and Applications (BigDataService),2022,"Deep Learning systems have achieved great success in the past few years, even surpassing human intelligence in several cases. As of late, they have also established themselves in the biomedical and healthcare domains, where they have shown a lot of promise, but have not yet achieved widespread adoption. This is in part due to the fact that most methods fail to maintain their performance when they are called to make decisions on data that originate from a different distribution than the one they were trained on, namely Out-Of-Distribution (OOD) data. For example, in the case of biosignal classification, models often fail to generalize well on datasets from different hospitals, due to the distribution discrepancy amongst different sources of data. Our goal is to demonstrate the Domain Generalization problem present between distinct hospital databases and propose a method that classifies abnormalities on 12-lead Electrocardiograms (ECGs), by leveraging information extracted across the architecture of a Deep Neural Network, and capturing the underlying structure of the signal. To this end, we adopt a ResNet-18 as the backbone model and extract features from several intermediate convolutional layers of the network. To evaluate our method, we adopt publicly available ECG datasets from four sources and handle them as separate domains. To simulate the distributional shift present in real-world settings, we train our model on a subset of the domains and leave-out the remaining ones. We then evaluate our model both on the data present at training time (intra-distribution) and the held-out data (out-of-distribution), achieving promising results and surpassing the baseline of a vanilla Residual Network in most of the cases.",10.1109/BigDataService55688.2022.00009,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9898255,deep learning;convolutional neural network;domain generalization biosignal classification;out of distribution,4.0,yes,moved,no,no,no,yes
A Neuro-Symbolic Approach for Marine Vessels Power Prediction Under Distribution Shifts,A. Hammoudeh; I. Ghannam; H. Mubarak; E. Jean; V. Vandenbulcke; S. Dupont,2023 IEEE Jordan International Joint Conference on Electrical Engineering and Information Technology (JEEIT),2023,"This paper proposes a neuro-symbolic approach to predict the power of marine cargo vessels. The neuro-symbolic approach combines two parts. The first is a neural networks part, and the second is a symbolic part that relies on physics-based formulae. The Shifts-power dataset was used for evaluation. The experimental results showed that a combination of a physics-based module (symbolic part) with a neural networks model (namely ensemble Monte Carlo dropout) superseded the state-of-the-art results by 2.3% in terms of uncertainty estimation measured using R-AUC, and by 3.4% in terms of power prediction for out-of-distribution (OOD) examples measured using RMSE. It also superseded the symbolic approach by 6.3% in terms of uncertainty and 17.7% in terms of OOD power prediction.",10.1109/JEEIT58638.2023.10185803,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10185803,deep learning;distribution shifts;neuro-symbolic;uncertainty;marine vessels;power prediction,1.0,,removed,no,no,no,no
A Remedy For Distributional Shifts Through Expected Domain Translation,J. -C. Gagnon-Audet; S. Shahtalebi; F. Rudzicz; I. Rish,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2022,"Machine learning models often fail to generalize to unseen domains due to the distributional shifts. A family of such shifts, “correlation shifts,” is caused by spurious correlations in the data. It is studied under the overarching topic of “domain generalization.” In this work, we employ multi-modal translation networks to tackle the correlation shifts that appear when data is sampled out-of-distribution. Learning a generative model from training domains enables us to translate each training sample under the special characteristics of other possible domains. We show that by training a predictor solely on the generated samples, the spurious correlations in training domains average out, and the invariant features corresponding to true correlations emerge. Our proposed technique, Expected Domain Translation (EDT), is benchmarked on the Colored MNIST dataset and drastically improves the state-of-the-art classification accuracy by 38% with train-domain validation model selection.",10.1109/ICASSP43922.2022.9746434,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9746434,machine learning;domain generalization;out-of-distribution generalization;correlation shift,,yes,moved,no,no,no,yes
"A Review of Graph Neural-Networks for EEG-Based Emotion-Recognition: Tackling Data-Imbalance, Noise, and Out-of-Distribution Generalization",D. Bhattacharjee; U. Talukdar,2025 3rd International Conference on Inventive Computing and Informatics (ICICI),2025,"Electroencephalogram (EEG)-based emotion recognition has attracted a great deal of interest due to its potential uses in human-computer interaction, healthcare, and brain-computer interfaces. Spatial-temporal connections in brain waves are successfully captured by Graph Neural Networks (GNNs), which have become a potent paradigm for EEG research. However, Out-of-distribution (ODD) generalization, noise, and data imbalance are some of the major issues that affect the resilience and efficacy of EEG-based emotion identification. This paper offers a comprehensive review of current developments in GNN-based EEG emotion recognition, with a particular emphasis on a novel taxonomy that tackles these three important issues. We classify previous efforts according to their approaches to imbalance data, noise, and ODD generalization, analyze their methodologies, and presents future directions",10.1109/ICICI65870.2025.11069884,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11069884,EEG;Emotion Recognition;Graph Neural Networks;Data Imbalance;Noise;Out of Distribution,,,removed,no,no,no,no
A Robust Framework for Distributional Shift Detection Under Sample-Bias,B. Torpmann-Hagen; M. A. Riegler; P. Halvorsen; D. Johansen,IEEE Access,2024,"Deep Neural Networks have been shown to perform poorly or even fail altogether when deployed in real-world settings, despite exhibiting excellent performance on initial benchmarks. This typically occurs due to relative changes in the nature of the production data, often referred to as distributional shifts. In an attempt to increase the transparency, trustworthiness, and overall utility of deep learning systems, a growing body of work has been dedicated to developing distributional shift detectors. As part of our work, we investigate distributional shift detectors that utilize statistical tests of neural network-based representations of data. We show that these methods are prone to fail under sample-bias, which we argue is unavoidable in most practical machine learning systems. To mitigate this, we implement a novel distributional shift detection framework which explicitly accounts for sample-bias via a simple sample-selection procedure. In particular, we show that the effect of sample-bias can be significantly reduced by performing statistical tests against the most similar data in the training set, as opposed to the training set as a whole. We find that this improves the stability and accuracy of a variety of distributional shift detection methods on both covariate- and semantic-shifts, with improvements to balanced accuracy typically ranging between 0.1 and 0.2, and false-positive-rates often being eliminated altogether under bias.",10.1109/ACCESS.2024.3393296,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10507823,Deep learning;system support;neural networks;distributional shift;OOD detection;sample bias;statistical tests,3.0,yes,moved,no,no,no,yes
A Secure and Robust Knowledge Transfer Framework via Stratified-Causality Distribution Adjustment in Intelligent Collaborative Services,J. Jia; S. Ma; L. Wang; Y. Liu; R. H. Deng,IEEE Transactions on Computers,2024,"The rapid development of device-edge-cloud collaborative computing techniques has actively contributed to the popularization and application of intelligent service models. The intensity of knowledge transfer plays a vital role in enhancing the performance of intelligent services. However, the existing knowledge transfer methods are mainly implemented through data fine-tuning and model distillation, which may cause the leakage of data privacy or model copyright in intelligent collaborative systems. To address this issue, we propose a secure and robust knowledge transfer framework through stratified-causality distribution adjustment (SCDA) for device-edge-cloud collaborative services. Specifically, a simple yet effective density-based estimation is first employed to obtain uncertainty scores that guide the space stratification, which is conducive to reconstructing low-density distribution regions from high-density distribution regions more adaptively and accurately. Subsequently, we devise a novel causality-aware generative model to generate synthetic features for the out-of-distribution domain by exploring the relationship between factors and variables. Ultimately, we introduce a cycle-consistent minimax optimization mechanism to ensure the effectiveness and dependability of knowledge transfer through the influence minimization and the diversity maximization. Furthermore, extensive experiments demonstrate that our scheme can protect the security of data privacy and model copyright in intelligent collaborative services through adaptive distribution adjustment.",10.1109/TC.2023.3318403,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10261341,Intelligent collaborative service;knowledge transfer;privacy preservation;copyright protection;adaptive distribution adjustment,,,removed,no,no,no,no
