Title,QA1: Clear statement of aims and objectives,QA2: Appropriateness of research design,QA3: Rigor of data analysis,QA4: Clarity of findings,QA5: Description of research context,QA6:Reproducibility,TOTAL
A Deep Ensemble Approach for Lung Disease Classification in Chest X-Ray Across Data Distribution Shifts and Unseen Data Generalization,1,"0,5","0,5",1,"0,5","0,5",4
activate and reject: towards safe domain generalization under category shift,1,1,"0,5",1,1,"0,5",5
Advancing Open-Set Domain Generalization Using Evidential Bi-Level Hardest Domain Scheduler,1,1,1,1,1,1,6
AGREE TO DISAGREE: DIVERSITY THROUGH DISAGREEMENT FOR BETTER TRANSFERABILITY,1,"0,5","0,5",1,"0,5",1,"4,5"
AHA: Human-Assisted Out-of-Distribution Generalization and Detection,1,1,1,1,1,1,6
Anomaly Detection under Distribution Shift,1,1,"0,5",1,1,1,"5,5"
Are We Ready for Out-of-Distribution Detection in Digital Pathology?,1,1,"0,5",1,1,1,"5,5"
ATTA: Anomaly-aware test-time adaptation for OOD detection,1,1,"0,5",1,1,1,"5,5"
Bayesian Deep Learning Detection of Anomalies and Failure: Application To Medical Images,1,"0,5","0,5","0,5","0,5","0,5","3,5"
Bayesian uncertainty estimation for detection of long-tailed and unseen conditions in medical images,1,"0,5","0,5",1,1,"0,5","4,5"
Bias in Unsupervised Anomaly Detection in Brain MRI,1,"0,5",1,1,1,0,"4,5"
Bridging OOD Detection and Generalization: A Graph-Theoretic View,0,1,"0,5","0,5",1,1,4
Can you trust predictive uncertainty under real dataset shifts in DP?,1,1,1,1,1,"0,5","5,5"
CROSSMATCH: CROSS-CLASSIFIER CONSISTENCY REGULARIZATION FOR OPEN-SET SINGLE DOMAIN GENERALIZATION,1,1,"0,5","0,5",1,"0,5","4,5"
CSI: Novelty detection via contrastive learning,1,1,1,1,1,1,6
DIBS: Diversity Inducing Information Bottleneck in Model Ensembles,1,1,"0,5","0,5",1,"0,5","4,5"
DiffAug: A Diffuse-and-Denoise Augmentation for Training Robust Classifiers,1,1,1,1,1,1,6
Dissecting Out-of-Distribution Detection and Open-Set Recognition: A Critical Analysis of Methods and Benchmarks,"0,5",1,"0,5",1,1,1,5
Diversified Ensemble of Independent Sub-networks for Robust Self-supervised Representation Learning,1,"0,5","0,5",1,1,"0,5","4,5"
Does your dermatology classifier know what it doesn't know? Detecting the long-tail of unseen conditions,1,1,"0,5",1,"0,5",0,4
Domain Expansion and Boundary Growth for Open-Set Single-Source Domain Generalization,1,1,"0,5",1,1,"0,5",5
DynaOOD-Net: Dynamic Progressive Feature Fusion and Energy Balancing for Robust Out-of-Distribution Detection,1,"0,5","0,5",1,1,"0,5","4,5"
Energy-based open-world uncertainty modeling for confidence calibration,1,"0,5","0,5","0,5",1,"0,5",4
Enhancing decision support in crop production: Analyzing conformal prediction for uncertainty quantification,1,"0,5","0,5","0,5",1,1,"4,5"
Enhancing Out-of-Distribution Detection Under Covariate Shifts: A Full-Spectrum Contrastive Denoising Framework,1,1,"0,5",1,1,"0,5",5
Feature-Space Semantic Invariance: Enhanced OOD Detection for Open-Set Domain Generalization,1,"0,5",0,"0,5","0,5","0,5",3
Federated Open-Set Domain Generalization with Adaptive Adjustment Boundary and Weights,1,1,1,"0,5",1,"0,5",5
Feed Two Birds with One Scone: Exploiting Wild Data for Both Out-of-Distribution Generalization and Detection,1,1,"0,5",1,"0,5",1,5
Few-shot out-of-distribution detection for automated screening in retinal OCT images using deep learning,1,1,1,1,1,0,5
FOOGD: Federated Collaboration for Both Out-of-distribution Generalization and Detection,1,1,"0,5",1,1,1,"5,5"
Foundation Models and Fine-Tuning: A Benchmark for Out of Distribution Detection,1,1,"0,5",1,1,1,"5,5"
Full-Spectrum Out-of-Distribution Detection,1,"0,5","0,5","0,5",1,1,"4,5"
Function-Space Regularization in Neural Networks: A Probabilistic Perspective,1,1,"0,5",1,1,1,"5,5"
Gated Information Bottleneck for Generalization in Sequential Environments,1,"0,5","0,5",1,0,1,4
Generalising uncertainty improves accuracy and safety of deep learning analytics applied to oncology,1,"0,5",1,1,1,0,"4,5"
Generalizable decision boundaries: Dualistic meta-learning for open set domain generalization,1,"0,5","0,5",1,"0,5",1,"4,5"
Generalize or Detect? Towards Robust Semantic Segmentation Under Multiple Distribution Shifts,1,1,"0,5",1,"0,5",1,5
HybridAugment++: Unified Frequency Spectra Perturbations for Model Robustness,1,1,"0,5",1,"0,5",1,5
Industrial anomaly detection with domain shift: A real-world dataset and masked multi-scale reconstruction,1,1,0,1,1,1,5
InfoBound: A Provable Information-Bounds Inspired Framework for Both OoD Generalization and OoD Detection,1,1,1,1,"0,5","0,5",5
Interaction of Generalization and Out-of-Distribution Detection Capabilities in Deep Neural Networks,1,"0,5","0,5",1,1,"0,5","4,5"
Learning class and domain augmentations for single-source open-DG,1,"0,5","0,5",1,1,"0,5","4,5"
