Authors,Title,Year,Publication Title,Citation Count,DOI,Link,Abstract,Keywords,Type,read,repeated,ACM,IEEE,SPRINGER,WOS
"Xu, R.; Zhang, X.; Shen, Z.; Zhang, T.; Cui, P.",A Theoretical Analysis on Independence-driven Importance Weighting for Covariate-shift Generalization,2022,Proceedings of Machine Learning Research,20,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144289202&partnerID=40&md5=29294c4a8a6287fcd995a05200ada55f,"Covariate-shift generalization, a typical case in out-of-distribution (OOD) generalization, requires a good performance on the unknown test distribution, which varies from the accessible training distribution in the form of covariate shift. Recently, independence-driven importance weighting algorithms in stable learning literature have shown empirical effectiveness to deal with covariate-shift generalization on several learning models, including regression algorithms and deep neural networks, while their theoretical analyses are missing. In this paper, we theoretically prove the effectiveness of such algorithms by explaining them as feature selection processes. We first specify a set of variables, named minimal stable variable set, that is the minimal and optimal set of variables to deal with covariate-shift generalization for common loss functions, such as the mean squared loss and binary cross-entropy loss. Afterward, we prove that under ideal conditions, independence-driven importance weighting algorithms could identify the variables in this set. Analysis of asymptotic properties is also provided. These theories are further validated in several synthetic experiments. The source code is available at https://github.com/windxrz/independence-driven-IW. © 2023 Elsevier B.V., All rights reserved.",,Conference paper,,removed,no,no,no,yes
"Pan, D.; Sheng, B.; Li, X.",Enhancing Out-of-Distribution Detection Under Covariate Shifts: A Full-Spectrum Contrastive Denoising Framework,2025,Electronics (Switzerland),0,10.3390/electronics14091881,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004796965&doi=10.3390%2Felectronics14091881&partnerID=40&md5=e0f7380f745a9c6c3ac2cf11b1303471,"Out-of-distribution (OOD) detection is crucial for identifying samples that deviate from the training distribution, thereby enhancing the reliability of deep neural network models. However, existing OOD detection methods primarily address semantic shifts, where an image’s inherent semantics have changed, and often overlook covariate shifts, which are prevalent in real-world scenarios. For instance, variations in image contrast, lighting, or viewpoints can alter input features while keeping the semantic content intact. To address this, we propose the Full-Spectrum Contrastive Denoising (FSCD) framework, which improves OOD detection under covariate shifts. FSCD first establishes a robust semantic boundary and then refines feature representations through fine-tuning. Specifically, FSCD employs a dual-level perturbation augmentation module to simulate covariate shifts and a feature contrastive denoising module to effectively distinguish in-distribution samples from OOD samples. Extensive experiments on three benchmarks demonstrate that FSCD achieves state-of-the-art performance, with AUROC improvements of up to 0.51% on DIGITS, 0.55% on OBJECTS, and 2.09% on COVID compared to the previous best method while also maintaining the highest classification accuracy on covariate-shifted in-distribution samples. © 2025 Elsevier B.V., All rights reserved.",covariate shift; full spectrum; model reliability; out-of-distribution detection,Article,yes,yes,no,no,no,yes
"Trivedi, P.; Heimann, M.; Anirudh, R.; Koutra, D.; Thiagarajan, J.J.",ACCURATE AND SCALABLE ESTIMATION OF EPISTEMIC UNCERTAINTY FOR GRAPH NEURAL NETWORKS,2024,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200596160&partnerID=40&md5=c95ceb11927aa8b05b68c611af21c68d,"While graph neural networks (GNNs) are widely used for node and graph representation learning tasks, the reliability of GNN uncertainty estimates under distribution shifts remains relatively under-explored. Indeed, while post-hoc calibration strategies can be used to improve in-distribution calibration, they need not also improve calibration under distribution shift. However, techniques which produce GNNs with better intrinsic uncertainty estimates are particularly valuable, as they can always be combined with post-hoc strategies later. Therefore, in this work, we propose G-∆UQ, a novel training framework designed to improve intrinsic GNN uncertainty estimates. Our framework adapts the principle of stochastic data centering to graph data through novel graph anchoring strategies, and is able to support partially stochastic GNNs. While, the prevalent wisdom is that fully stochastic networks are necessary to obtain reliable estimates, we find that the functional diversity induced by our anchoring strategies when sampling hypotheses renders this unnecessary and allows us to support G-∆UQ on pretrained models. Indeed, through extensive evaluation under covariate, concept and graph size shifts, we show that G-∆UQ leads to better calibrated GNNs for node and graph classification. Further, it also improves performance on the uncertainty-based tasks of out-of-distribution detection and generalization gap estimation. Overall, our work provides insights into uncertainty estimation for GNNs, and demonstrates the utility of G-∆UQ in obtaining reliable estimates. © 2025 Elsevier B.V., All rights reserved.",,Conference paper,,removed,no,no,no,no
"Li, X.; Gu, J.; Li, M.; Zhang, X.; Guo, L.; Wang, Y.; Lyu, W.; Wang, Y.",Adaptive expert ensembles for fault diagnosis: A graph causal framework addressing distributional shifts,2025,Mechanical Systems and Signal Processing,13,10.1016/j.ymssp.2025.112762,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004204273&doi=10.1016%2Fj.ymssp.2025.112762&partnerID=40&md5=648a9b4a00ad46deda1bbf4c5e865cb3,"Due to the complexity and variability of operating conditions, accurate fault diagnosis is crucial to ensure wind turbine efficiency and reduce maintenance costs. However, existing deep learning models for fault detection often struggle with distribution shifts caused by environmental changes, leading to unreliable predictions. In response, this paper proposes the GCI-ODG framework, an innovative approach based on Graph Causal Intervention (GCI) to enhance Out-Of-Distribution (OOD) generalization in intelligent fault diagnosis of wind turbines. The core innovations of this framework include a hierarchical graph representation that captures both local and global features of multi-condition time-series data, improving the model's ability to detect intricate fault patterns. An adaptive expert ensemble mechanism is introduced, utilizing pseudo-environment labels inferred without explicit environmental data, enabling dynamic feature extraction and robust adaptation across diverse operating conditions. Additionally, the framework employs causal inference strategies, including backdoor adjustment, to isolate stable, environment-invariant features, effectively mitigating the impact of spurious correlations and distribution shifts. Extensive experiments across multiple benchmark datasets, including real-world wind turbine data, validate the effectiveness of the proposed GCI-ODG framework. The results indicate notable enhancements in both classification accuracy and model robustness under diverse conditions. The GCI-ODG framework demonstrates exceptional capability in handling significant distribution shifts, proving its value as a scalable and generalizable solution for intelligent diagnostics. These findings highlight its potential for reliable and efficient fault detection in complex industrial environments. © 2025 Elsevier B.V., All rights reserved.",Adaptive expert ensemble; Graph causal intervention; Hierarchical graph representation; Intelligent diagnosis; Out-of-distribution generalization,Article,,removed,no,no,no,no
"Bai, H.; Canal, G.; Du, X.; Kwon, J.; Nowak, R.; Li, Y.",Feed Two Birds with One Scone: Exploiting Wild Data for Both Out-of-Distribution Generalization and Detection,2023,Proceedings of Machine Learning Research,26,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174407848&partnerID=40&md5=b740b0287664cc4905b4d3fbc0872401,"Modern machine learning models deployed in the wild can encounter both covariate and semantic shifts, giving rise to the problems of out-of-distribution (OOD) generalization and OOD detection respectively. While both problems have received significant research attention lately, they have been pursued independently. This may not be surprising, since the two tasks have seemingly conflicting goals. This paper provides a new unified approach that is capable of simultaneously generalizing to covariate shifts while robustly detecting semantic shifts. We propose a margin-based learning framework that exploits freely available unlabeled data in the wild that captures the environmental test-time OOD distributions under both covariate and semantic shifts. We show both empirically and theoretically that the proposed margin constraint is the key to achieving both OOD generalization and detection. Extensive experiments show the superiority of our framework, outperforming competitive baselines that specialize in either OOD generalization or OOD detection. Code is publicly available at https://github.com/deeplearning-wisc/scone. © 2023 Elsevier B.V., All rights reserved.",,Conference paper,yes,yes,no,no,no,yes
"Akansha, A.",Addressing the Impact of Localized Training Data in Graph Neural Networks,2023,,2,10.1109/CERA59325.2023.10455308,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187788855&doi=10.1109%2FCERA59325.2023.10455308&partnerID=40&md5=6c0427f2faacc9370eecce09a460f472,"In the realm of Graph Neural Networks (GNNs), which excel at capturing intricate dependencies in graph-structured data, we address a significant limitation. Most state-of-the-art GNNs assume an in-distribution setting, limiting their performance on real-world dynamic graphs. This article seeks to assess the influence of training GNNs using localized subsets of graphs. Such constrained training data could result in a model performing well in the specific trained region, but struggling to generalize and provide accurate predictions for the entire graph. Within the realm of graph-based semi-supervised learning (SSL), resource constraints frequently give rise to situations where a substantial dataset is available, yet only a fraction of it can be labeled. Such circumstances directly impact the model's efficacy. The limitations stemming from localized training data significantly impact tasks such as anomaly and spam detection, especially when labeling processes are biased or influenced by human subjectivity. To address these challenges, we frame the issue as an out-of-distribution (OOD) data problem. This involves aligning the distributions between the training data, which constitutes a small fraction of labeled data, and the graph inference process responsible for predicting the entire graph. To mitigate these challenges, we introduce a regularization method designed to minimize distributional discrepancies between 10-calized training data and the graph inference process. This regularization technique enhances the model's performance on OOD data. Rigorous testing on well-established Graph Neural Network (GNN) models demonstrates significant performance improvements across three citation GNN benchmark datasets. The regularization approach not only improves model adaptation but also enhances generalization, effectively overcoming the challenges posed by OOD data1,. © 2024 Elsevier B.V., All rights reserved.",Distributional discrepancy in graph data; Graph neural networks (GNNs); Out-of-distribution (OOD) graph data; Semi-supervised learning,Conference paper,,removed,no,yes,no,no
"Martinez-Seras, A.; Andres, A.; Del-Ser-Lorente, J.",Advancing towards Safe Reinforcement Learning over Sparse Environments with Out-of-Distribution Observations: Detection and Adaptation Strategies,2024,Proceedings of the International Joint Conference on Neural Networks,0,10.1109/IJCNN60899.2024.10650670,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205005846&doi=10.1109%2FIJCNN60899.2024.10650670&partnerID=40&md5=58b7c146d0235b63d0a3630de874ab29,"Safety in AI-based systems is among the highest research priorities, particularly when such systems are deployed in real-world scenarios subject to uncertainties and unpredictable inputs. Among them, the presence of long-tailed stimuli (Out-of-Distribution data, OoD) has captured much interest in recent times, giving rise to many proposals over the years to detect unfamiliar inputs to the model and adapt its knowledge accordingly. This work analyzes several OoD detection and adaptation strategies for Reinforcement Learning agents over environments with sparse reward signals. The sparsity of rewards and the impact of OoD objects on the state transition distribution learned by the agent are shown to be crucial when it comes to the design of effective knowledge transfer methods once OoD objects are detected. Furthermore, different approaches to detect OoD elements within the observation of the agent are also outlined, stressing on their benefits and potential downsides. Experiments with procedurally generated environments are performed to assess the performance of the considered OoD detection techniques, and to gauge the impact of the adaptation strategies on the generalization capability of the RL agent. The results pave the way towards further research around the provision of safety guarantees in sparse open-world Reinforcement Learning environments. © 2024 Elsevier B.V., All rights reserved.",Open-World Learning; Out-of-Distribution (OoD); Reinforcement Learning; Sparse Rewards,Conference paper,,removed,no,yes,no,yes
"Liao, X.; Liu, W.; Zhou, P.; Yu, F.; Xu, J.; Wang, J.; Wang, W.; Chen, C.; Zheng, X.",FOOGD: Federated Collaboration for Both Out-of-distribution Generalization and Detection,2024,Advances in Neural Information Processing Systems,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000503636&partnerID=40&md5=5366a4d0b2a83632a291623edf075952,"Federated learning (FL) is a promising machine learning paradigm that collaborates with client models to capture global knowledge. However, deploying FL models in real-world scenarios remains unreliable due to the coexistence of in-distribution data and unexpected out-of-distribution (OOD) data, such as covariate-shift and semantic-shift data. Current FL researches typically address either covariate-shift data through OOD generalization or semantic-shift data via OOD detection, overlooking the simultaneous occurrence of various OOD shifts. In this work, we propose FOOGD, a method that estimates the probability density of each client and obtains reliable global distribution as guidance for the subsequent FL process. Firstly, SM3D in FOOGD estimates score model for arbitrary distributions without prior constraints, and detects semantic-shift data powerfully. Then SAG in FOOGD provides invariant yet diverse knowledge for both local covariate-shift generalization and client performance generalization. In empirical validations, FOOGD significantly enjoys three main advantages: (1) reliably estimating non-normalized decentralized distributions, (2) detecting semantic shift data via score values, and (3) generalizing to covariate-shift data by regularizing feature extractor. The prejoct is open in https://github.com/XeniaLLL/FOOGD-main.git. © 2025 Elsevier B.V., All rights reserved.",,Conference paper,yes,no,no,no,no,no
"Yang, J.; Zhou, K.; Liu, Z.",Full-Spectrum Out-of-Distribution Detection,2023,International Journal of Computer Vision,39,10.1007/s11263-023-01811-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163080052&doi=10.1007%2Fs11263-023-01811-z&partnerID=40&md5=20e7fb7a369e69d21b9a8c1b24950c28,"Existing out-of-distribution (OOD) detection literature clearly defines semantic shift as a sign of OOD but does not have a consensus over covariate shift. Samples experiencing covariate shift but not semantic shift from the in-distribution (ID) are either excluded from the test set or treated as OOD, which contradicts the primary goal in machine learning—being able to generalize beyond the training distribution. In this paper, we take into account both shift types and introduce full-spectrum OOD (F-OOD) detection, a more realistic problem setting that considers both detecting semantic shift and being tolerant to covariate shift; and design three benchmarks. These new benchmarks have a more fine-grained categorization of distributions (i.elet@tokeneonedot, training ID, covariate-shifted ID, near-OOD, and far-OOD) for the purpose of more comprehensively evaluating the pros and cons of algorithms. To address the F-OOD detection problem, we propose SEM, a simple feature-based semantics score function. SEM is mainly composed of two probability measures: one is based on high-level features containing both semantic and non-semantic information, while the other is based on low-level feature statistics only capturing non-semantic image styles. With a simple combination, the non-semantic part is canceled out, which leaves only semantic information in SEM that can better handle F-OOD detection. Extensive experiments on the three new benchmarks show that SEM significantly outperforms current state-of-the-art methods. Our code and benchmarks are released in https://github.com/Jingkang50/OpenOOD . © 2023 Elsevier B.V., All rights reserved.",AI safety; Model trustworthy; Out-of-distribution detection,Article,yes,yes,no,no,yes,yes
"Klaiber Aboitiz, F.J.; Legenstein, R.; Ozdenizci, O.",Interaction of Generalization and Out-of-Distribution Detection Capabilities in Deep Neural Networks,2023,Lecture Notes in Computer Science,1,10.1007/978-3-031-44204-9_21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174639903&doi=10.1007%2F978-3-031-44204-9_21&partnerID=40&md5=378726ddfd980d58ed4bf8ee10100a07,"Current supervised deep learning models are shown to achieve exceptional performance when data samples used in evaluation come from a known source, but are susceptible to performance degradations when the data distribution is even slightly shifted. In this work, we study the interaction of two related aspects in this context: (1) out-of-distribution (OOD) generalization ability of DNNs to successfully classify samples from unobserved data distributions, and (2) being able to detect strictly OOD samples when observed at test-time, finding that acquisition of these two capabilities can be at odds. We experimentally analyze the impact of various training data related texture and shape biases on both abilities. Importantly, we reveal that naive outlier exposure mechanisms can help to improve OOD detection performance while introducing strong texture biases that conflict with the generalization abilities of the networks. We further explore the influence of such conflicting texture bias backdoors, which lead to unreliable OOD detection performance on spurious OOD samples observed at test-time. © 2023 Elsevier B.V., All rights reserved.",Deep neural networks; generalization; out-of-distribution detection; outlier exposure; texture and shape bias,Conference paper,yes,yes,yes,no,yes,yes
