Authors,Title,Year,Link,Type,Conference Name,Country,Institution_STD,RQ1: What is the purpose?,Main Purpose,RQ2 :What methods are used?,RQ2: Categorization,RQ2:CATEGORIZATION2,Near OOD vs Far OOD?,compare with other OOD methods?,Models/Backbones,"ID",COVARIATE SHIFT,SEMANTIC SHIFT,RQ7: Metrics,RQ8: Applications,RQ9: Open-source implementations,Link to github,Are the Datasets open-source?,Link to dataset
"Borah, Jutika and Singh, Hidam Kumarjit and Sarmah, Kumaresh",A Deep Ensemble Approach for Lung Disease Classification in Chest X-Ray Across Data Distribution Shifts and Unseen Data Generalization,2024,https://doi.org/10.1007/s42979-024-03164-x,Article,SN Comput. Sci.,India,Gauhati University,Deep ensemble method (StackGen) for lung disease classification using probability estimates and meta-learning,New method,"Unseen classes are handled using StackGen along with a binary classifier that distinguishes between Normal and Diseased cases. StackGen is a stacked deep ensemble framework where multiple diverse pretrained CNNs (such as ResNet, DenseNet, EfficientNet, Xception, and others) are independently trained on different internal chest X-ray datasets. A Multilayer Perceptron (MLP) is then trained as a meta-model to combine the predictions of the best-performing CNNs for final decision-making.","Ensemble, unknown class handling",TRAINING,Near,no,"ResNet-50, ResNet-101, ResNet-152, ResNet-152V2, DenseNet-121, DenseNet-169, DenseNet-201, Xception, Inception-ResNetV2, EfficientNet-B0, EfficientNetV2-S, NASNet-Mobile","Shenzhen Tuberculosis Chest X-ray, Montgomery Tuberculosis Chest X-ray, Pneumonia Chest X-ray",Chest X-ray Tuberculosis Dataset (India),"COVID-19 Radiography Database, CheXpert","ID ACC, Sensitivity, Specificity, F1-SCORE, AUC, AUPR, TPR, FPR, Precision",Medical Image,No,-,Yes,https://aimi.stanford.edu/chexpert-chest-x-rays   https://www.kaggle.com/datasets/tawsifurrahman/covid19radiography-database      https://www.kaggle.com/datasets/raddar/chest-xrays-tuber culosis-from-india   https://www.kaggle.com/datasets/raddar/tuber culosis-chest-xrays-shenzhen  https://www.kaggle.com/datasets/raddar/tuber culosis-chest-xrays-montgomery   https://www.kaggle.com/datasets/paultimoth ymooney/chest-xray-pneumonia  
"C Chen, L Tang, L Tao, HY Zhou",activate and reject: towards safe domain generalization under category shift,2023,,Conference paper,ICCV,"China, USA",The University of Hong Kong; Xiamen University; University of Wisconsin–Madison; The Chinese University of Hong Kong,omain Generalization under Category Shift,New method,ART: unkown aware training : Unknown activation loss (LUA): Encourages the model to assign non-zero probability to an “unknown” class and Smoothed cross-entropy. Tes-time unkown rejection: improve predictions on unseen domains without training. Use KNN + prototype matching in feature space,"unknown class handling, Prototype, Domain generalization",HYBRID METHODS,far,no,"ResNet-18, ConvNet, Faster R-CNN, ResNet-50, DeepLab-v2, ResNet-101","PACS, Office-Home, Office-31, Digits, Pascal VOC, GTA5","PACS, Office-Home, Office-31, Digits, Pascal VOC, GTA5","PACS, Office-Home, Office-31, Digits, Pascal VOC, GTA5","H-Score, unknown accuracy, known class accuracy, Accuracy, iou","General, Object Detection",No,-,Yes,-
"K. Peng, D. Wen, K. Yang, A. Luo et al.",Advancing Open-Set Domain Generalization Using Evidential Bi-Level Hardest Domain Scheduler,2024,,Conference paper,NeurIPS,"Germany, China, Japan, Sweden",Karlsruhe Institute of Technology; Hunan University; Waseda University; KTH Royal Institute of Technology; RISE Research Institutes of Sweden; Mercedes-Benz Tech Innovation; University of Stuttgart,algorithm for meta-learning in OSDG,New method,"Learns an adaptive domain scheduler
Dynamically selects the “hardest domain” during training, uses  an evidential learning framework (for confidence estimation)
a follower network (to estimate domain reliability), bi-level optimization (scheduler and main model trained jointly)","Uncertainty and Bayesian evidential methods, Domain generalization",TRAINING,both,no,"ResNet-18,ResNet-50,ConvNet, ResNet-152, ViT","PACS, Digits-DG, Office-Home","PACS, Digits-DG, Office-Home","PACS, Digits-DG, Office-Home","H-Score, Open Set Classification Rate, known class accuracy",General,Yes,https://github.com/KPeng9510/EBiL-HaDS,Yes,-
"Pagliardini, M.; Jaggi, M.; Fleuret, F.; Karimireddy, S.P.",AGREE TO DISAGREE: DIVERSITY THROUGH DISAGREEMENT FOR BETTER TRANSFERABILITY,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174796096&partnerID=40&md5=6081b4e232c6031c3e63a32c7145cf8f,Conference paper,ICLR,Switzerland,EPFL,Ensemble of models agreement on the training data and disagreement on the OOD data,New method,"D-BAT trains multiple models sequentially: each fits the source data but is forced to disagree on unlabelled OOD samples. This ensures each model relies on different predictive features, producing an ensemble that generalizes better to distribution shifts.","Ensemble, Domain generalization",TRAINING,both,no,LeNet,"Colored MNIST, Waterbirds, Camelyon17, Office-Home","Synthetic Perturbations, Waterbirds, Camelyon17, Office-Home","Dominoes (M/F, M/C), Waterbirds, Camelyon17, Office-Home","OOD ACC, ID ACC",General,Yes,https://github.com/mpagli/Agree-to-Disagree ,Yes,https://github.com/mpagli/Agree-to-Disagree 
"Bai, H.; Zhang, J.; Nowak, R.",AHA: Human-Assisted Out-of-Distribution Generalization and Detection,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000467241&partnerID=40&md5=a8f905ce61b6fb3c75530f0496ca92b8,Conference paper,NeurIPS,USA,University of Wisconsin–Madison,OOD generalization and detection through a human-assisted framework by labeling data in the wild.,New method,"AHA: first uses half labeling budget to run a noisy binary search over OOD scores, repeatedly sampling points and asking humans whether they are known or unknown, until it finds the score where semantic OOD and non-semantic data are equally likely. It then spends the remaining budget labeling points tightly around this threshold (the maximum disambiguation region). These labels naturally contain many semantic OOD (helping detection) and many covariate OOD with class labels (helping generalization). Finally, it retrains the classifier with covariate OOD labels and retrains the OOD detector with semantic OOD labels using a joint loss.","Human in the loop, unknown class handling, Domain generalization",HYBRID METHODS,far,yes,WideResNet-40-2,CIFAR-10,CIFAR-10-C,"SVHN, Textures, Places365, LSUN (Crop), LSUN (Resize), PACS","ID ACC, OOD ACC, AUROC, FPR95",General,Yes,https://github.com/HaoyueBaiZJU/aha,Yes,-
"Cao, T.; Zhu, J.; Pang, G.",Anomaly Detection under Distribution Shift,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175136862&doi=10.1109%2FICCV51070.2023.00599&partnerID=40&md5=f449e0f15427f3b897b83b3b131f8384,Conference paper,ICCV,Singapore,Singapore Management University,Anomaly detection under distribution shift (they refer distribution shift as covariate shift),Method extension/modification,"Generalized Normality LearningGNL introduces a loss function that maintains the characteristics of normal data, enabling the model to learn representations that remain consistent despite distribution changes. By leveraging features at multiple levels, the model captures broad semantic patterns within the training data. Additionally, it improves anomaly detection performance through a test-time augmentation strategy based on matching feature distributions, which strengthens the model’s generalization ability","Domain generalization, ""Reconstruction, generative, diffusion""",HYBRID METHODS,far,no,GNL + RD4AD (AugMix + EFDM inference),"MVTec, CIFAR-10, MNIST","Brightness, Contrast, Defocus Blur, Gaussian Noise","MNIST-M, PACS",AUROC,"Industrial Defect inspection, General",Yes,https://github.com/mala-lab/ADShift.,Yes,https://github.com/mala-lab/ADShift.
Ji-Hun OhKianoush FalahkheirkhahRohit Bhargava,Are We Ready for Out-of-Distribution Detection in Digital Pathology?,2024,https://link.springer.com/chapter/10.1007/978-3-031-72117-5_8,Conference paper,MICCAI,USA,University of Illinois Urbana-Champaign,Detect OOD and misclassified covariate shift ID samples,Evaluation study,"Train classifiers and use OOD detectors to do a binary classification of  semantic shift and ID and correclty predicted covariate shift and misclassified. msp, mAHALANOBIS DISTANCE, MLS (Max Logit Score),Energy Score (in R+E),GEN (Generalized Entropy),KLM (KL-Matching), GradNorm (GrN), KNN (k-Nearest Neighbor), ViM (Virtual Logit Matching)","Post hoc detection scoring, Analysis/benchmark",POSTHOC INFERENCE,both,yes,"ResNet-50, ViT-B/16, ConvNeXt, Transformer",BreakHis,"Digitization, Blur, Color Distortion, Artifacts",NCT-CRC,"AUROC, ID-C ACC, ID ACC, PPR",Medical Image,Yes,https://github.com/jihunoh2/OODD4DP,Yes, https://web.inf.ufpr.br/vri/databases/breast-cancer-histopathological-database-breakhis/ https://zenodo.org/records/1214456 
"Z. Gao, S. Yan, X. He",ATTA: Anomaly-aware test-time adaptation for OOD detection,2023,,Conference paper,NeurIPS,China,ShanghaiTech University,novel dual-level test-time adaptation strategy for dense OOD segmentation.,New method,"Selective Batch Normalization: detect whether the input image has domain shift and adapt normalization accordingly. Compare test image feature statistics vs training BN stats
Compute distance using KL divergence: test BN stats and train them. Anomaly-aware Self-Training:Estimate OOD probability per pixel, Build a unified prediction. Pseudo-label selection cross-entropy on them, Only final classifier layers (and small parts) are updated. test-time adaptation framework that first detects and corrects domain shift using selective batch normalization, then improves pixel-wise OOD detection via GMM-calibrated anomaly estimation and selective entropy-based self-training.","Test-time adaptation and filtering, Uncertainty and Bayesian evidential methods",TTA,both,yes,"DeepLabV3+, WideResNet-38",RoadAnomaly,Fishyscapes,"FS Static-C, SMIYC","AUROC, Average Precision, FPR95",Autonomous Driving,Yes,https://github.com/gaozhitong/ATTA.,Yes,-
G. Carannante; N. C. Bouaynaya,Bayesian Deep Learning Detection of Anomalies and Failure: Application To Medical Images,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10285922,Conference paper,MLSP,USA,Rowan University,Comparison of different methods,Evaluation study,"Compare multiple Bayesian approaches:
BCNN, MC Dropout, Ensembles, VDP variants",Uncertainty and Bayesian evidential methods,POSTHOC INFERENCE,both,no,"exVDP, ENS-VDP, unsVDP, Ensemble","PathMNIST, Hippocampus",Noise Transformations,"Camelyon17, Malaria, CIFAR-10","TPR, Predictive Variance, Misclassification Rate, Dice",Medical Image,No,-,Yes,-
"Rezaei, M.; Näppi, J.J.; Bischl, B.; Yoshida, H.",Bayesian uncertainty estimation for detection of long-tailed and unseen conditions in medical images,2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176137790&doi=10.1117%2F1.JMI.10,5.054501&partnerID=40&md5=727786f1ff62427be5633298b215a08f",Article,Journal of Medical Imaging,"Germany, USA",LMU Munich; Munich Center for Machine Learning; Harvard Medical School,a deep Bayesian ensemble GAN with dynamic MC dropout,New method,"Bayesian ensemble GAN framework for medical image analysis that combines uncertainty estimation with adversarial learning, dynamic MC dropout mechanism to approximate Bayesian uncertainty by sampling multiple network configurations and computing predictive variance. This is integrated into a GAN architecture with one generator and multiple discriminators, where the generator learns from aggregated feedback (e.g., sum/average/max) across discriminators to improve robustness and segmentation quality.","Uncertainty and Bayesian evidential methods, ""Reconstruction, generative, diffusion"", Ensemble",TRAINING,Near,yes,Bayesian Ensemble GAN,"LITS, Glaucoma Detection","CHAOS Dataset, Crop, Horizontal Flip, Color Jitter",REFUGE 2020,"F1-SCORE, Precision, ECE, Negative Log-likelihood",Medical Image,No,-,Yes," https://www.kaggle.com/datasets/andrewmvd/liver-tumor-segmentation , https://www.kaggle.com/datasets/andrewmvd/liver-tumor-segmentation-part-2 , https://chaos.grand-challenge.org/ , https://www.kaggle.com/datasets/teamincribo/glaucoma-detection-dataset  , https://refuge.grand-challenge.org/Home2020/ "
